"","yearid","year_1b","year_2","id_1b","id_2","coninc_1b","coninc_2","race_1b","sexnow_1b","sexnow1_2","affrmact_norm1b","gunlaw_norm1b","partyid_norm1b","affrmact_norm2","gunlaw_norm2","partyid_norm2"
"93",20180857,2018,2020,857,1173,38555,18480,1,NA,2,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.5
"94",20180862,2018,2020,862,1176,350.5,67200,1,NA,2,0.333333333333333,1,0.5,0,0,0.333333333333333
"95",20180870,2018,2020,870,1180,31545,36960,1,NA,2,1,0,0.166666666666667,1,0,0.166666666666667
"96",20180874,2018,2020,874,1181,38555,45360,1,NA,1,0,0,0.333333333333333,0,0,0.333333333333333
"97",20180880,2018,2020,880,1185,70100,80640,1,NA,2,0,0,0,0,0,0
"98",20180883,2018,2020,883,1187,16648.75,9240,1,NA,2,0.666666666666667,0,0.5,1,0,0.5
"99",20180896,2018,2020,896,1192,47317.5,45360,2,NA,1,1,0,0.333333333333333,1,0,0.333333333333333
"100",20180905,2018,2020,905,1195,9638.75,2352,2,NA,2,0,0,0.5,0.666666666666667,0,0.5
"101",20180925,2018,2020,925,1203,98140,107520,1,NA,1,0.666666666666667,0,0,0.666666666666667,0,0
"102",20180927,2018,2020,927,1204,84120,94080,1,NA,2,0.666666666666667,1,0.666666666666667,0.666666666666667,0,0.833333333333333
"103",20180930,2018,2020,930,1207,6309,6048,1,NA,1,0.666666666666667,0,0.166666666666667,0.666666666666667,0,0.166666666666667
"104",20180933,2018,2020,933,1210,57832.5,55440,1,NA,1,1,1,0.833333333333333,1,1,1
"105",20180939,2018,2020,939,1216,38555,14280,1,NA,2,1,0,1,1,1,1
"106",20180947,2018,2020,947,1222,22782.5,25200,1,NA,2,1,0,0.833333333333333,1,0,0.833333333333333
"107",20180950,2018,2020,950,1224,NA,NA,1,NA,2,0.666666666666667,0,0.5,1,0,0.333333333333333
"108",20180952,2018,2020,952,1226,NA,9240,1,NA,2,0.666666666666667,0,0.666666666666667,1,0,0.833333333333333
"109",20180955,2018,2020,955,1228,9638.75,10920,1,NA,2,1,0,1,0.666666666666667,1,1
"110",20180968,2018,2020,968,1231,38555,2352,2,NA,1,1,0,0,0.666666666666667,0,0
"111",20180982,2018,2020,982,1236,84120,80640,1,NA,2,0.666666666666667,0,0.166666666666667,0.666666666666667,0,0.166666666666667
